ratio,temperature,waterflow
2.0,55,2.937758444
2.0,60,3.317286889
2.0,65,3.583819842
2.0,70,4.096041593
2.0,73,4.369537779
2.2,55,3.062528343
2.2,60,3.394458475
2.2,65,3.857016337
2.2,70,4.406117851
2.8,73,5.007570594
2.2,73,4.755462104
2.4,55,3.12747881
2.4,60,3.597583439
2.4,65,4.086582567
2.4,70,4.599203033
2.4,73,4.801716
2.6,55,3.156185955
2.6,60,3.754248663
2.6,65,4.291491909
2.6,70,4.752383861
2.6,73,4.995662555
2.8,55,3.24580581
2.8,60,3.903343578
2.8,65,4.525341526
2.8,70,4.869876546
