temperature,ratio,waterflow
63,1.8,4.003648
63,2.0,3.9699584
63,2.2,3.9055872
63,2.4,3.8688896
65,1.8,3.76276736
65,2.0,3.6781824
65,2.2,3.5157504
65,2.4,3.4086656
68,1.8,3.6914176
68,2.0,3.3918208
68,2.2,3.1277184
68,2.4,2.8900864
70,1.8,3.4026496
70,2.0,3.16646144
70,2.2,2.9291904
70,2.4,2.7318656
73,1.8,3.0061952
73,2.0,2.6482432
73,2.2,2.4563328
73,2.4,2.1952384
