ratio,temperature,waterflow
2.0,55,1.4366208
2.0,60,1.2609536
2.0,65,0.9944448
2.0,70,0.48861952
2.0,73,0.32053248
2.2,55,1.3584128
2.2,60,1.227264
2.2,65,0.77377792
2.2,70,0.22584064
2.2,73,0.009628006
2.4,55,1.3223168
2.4,60,1.04955136
2.4,65,0.60605184
2.4,70,0.074153216
2.4,73,0.006468403
2.6,55,1.3283328
2.6,60,0.92020736
2.6,65,0.43784448
2.6,70,0.009323597
2.6,73,0.005557581
2.8,55,1.2669696
2.8,60,0.81372416
2.8,65,0.24232448
2.8,70,0.008624538
2.8,73,0.003556659
