temperature,ratio,waterflow
55,2.2,4.540766976
55,2.4,4.918916994
60,1.8,4.688428174
60,2.0,4.930996213
60,2.2,5.177345784
60,2.4,5.245130968
65,1.8,4.999319497
65,2.0,5.216572794
65,2.2,5.513973047
65,2.4,5.78270304
70,1.8,5.508711822
70,2.0,5.919894609
70,2.2,6.245677668
70,2.4,6.636365436
73,1.8,6.039986028
73,2.0,6.549384099
73,2.2,6.956026894
73,2.4,7.682666095
