temperature,ratio,waterflow
55,2.0,2.937758444
55,2.2,3.062528343
55,2.4,3.12747881
55,2.6,3.156185955
55,2.8,3.24580581
60,2.0,3.317286889
60,2.2,3.394458475
60,2.4,3.597583439
60,2.6,3.754248663
60,2.8,3.903343578
65,2.0,3.583819842
65,2.2,3.857016337
65,2.4,4.086582567
65,2.6,4.291491909
65,2.8,4.525341526
70,2.0,4.096041593
70,2.2,4.406117851
70,2.4,4.599203033
70,2.6,4.752383861
70,2.8,4.869876546
73,2.0,4.369537779
73,2.2,4.755462104
73,2.4,4.801716
73,2.6,4.995662555
73,2.8,5.007570594
