ratio,temperature,waterflow
1.8,60,4.688428174
1.8,65,4.999319497
1.8,70,5.508711822
1.8,73,6.039986028
2.0,60,4.930996213
2.0,65,5.216572794
2.0,70,5.919894609
2.0,73,6.549384099
2.2,55,4.540766976
2.2,60,5.177345784
2.2,65,5.513973047
2.2,70,6.245677668
2.2,73,6.956026894
2.4,55,4.918916994
2.4,60,5.245130968
2.4,65,5.78270304
2.4,70,6.636365436
2.4,73,7.682666095
