ratio,temperature,waterflow
1.8,63,4.003648
1.8,65,3.76276736
1.8,68,3.6914176
1.8,70,3.4026496
1.8,73,3.0061952
2.0,63,3.9699584
2.0,65,3.6781824
2.0,68,3.3918208
2.0,70,3.16646144
2.0,73,2.6482432
2.2,63,3.9055872
2.2,65,3.5157504
2.2,68,3.1277184
2.2,70,2.9291904
2.2,73,2.4563328
2.4,63,3.8688896
2.4,65,3.4086656
2.4,68,2.8900864
2.4,70,2.7318656
2.4,73,2.1952384
