temperature,ratio,waterflow
55,2.0,1.4366208
55,2.2,1.3584128
55,2.4,1.3223168
55,2.6,1.3283328
55,2.8,1.2669696
60,2.0,1.2609536
60,2.2,1.227264
60,2.4,1.04955136
60,2.6,0.92020736
60,2.8,0.81372416
65,2.0,0.9944448
65,2.2,0.77377792
65,2.4,0.60605184
65,2.6,0.43784448
65,2.8,0.24232448
70,2.0,0.48861952
70,2.2,0.22584064
70,2.4,0.074153216
70,2.6,0.009323597
70,2.8,0.008624538
73,2.0,0.32053248
73,2.2,0.009628006
73,2.4,0.006468403
73,2.6,0.005557581
73,2.8,0.003556659
